"","EWS.T1","EWS.T2","EWS.T3","EWS.T4","EWS.T6","EWS.T7","EWS.T9","EWS.T11","EWS.T12","EWS.T13","EWS.T14","EWS.T15","EWS.T19","EWS.C8","EWS.C3","EWS.C2","EWS.C4","EWS.C6","EWS.C9","EWS.C7","EWS.C1","EWS.C11","EWS.C10","BL.C5","BL.C6","BL.C7","BL.C8","BL.C1","BL.C2","BL.C3","BL.C4","NB.C1","NB.C2","NB.C3","NB.C6","NB.C12","NB.C7","NB.C4","NB.C5","NB.C10","NB.C11","NB.C9","NB.C8","RMS.C4","RMS.C3","RMS.C9","RMS.C2","RMS.C5","RMS.C6","RMS.C7","RMS.C8","RMS.C10","RMS.C11","RMS.T1","RMS.T4","RMS.T2","RMS.T6","RMS.T7","RMS.T8","RMS.T5","RMS.T9","RMS.T3","RMS.T10","RMS.T11"
"19",0.7022,0.2531,2.035,0.1239,1.2582,0.9491,0.708,0.4951,0.4265,0.1985,0.3978,0.3048,0.5,1.9081,0.4048,0.2728,0.5065,3.3317,3.4498,1.3849,0.3512,3.2026,2.7511,0.9754,1.9857,2.039,0.8393,0.6224,0.6434,0.6789,0.5637,0.4455,0.3966,0.3099,2.3,1.4983,1.7824,2.7017,1.3337,0.9895,1.557,1.1422,1.4256,0.4394,1.9404,2.1953,2.6522,2.2443,1.7016,1.67,0.3447,1.5526,0.4181,0.3421,0.2425,0.4382,0.407,0.3927,0.2285,0.3859,0.6367,0.5957,0.2473,0.1276
"20",1.726,1.7841,1.734,0.5216,1.0114,0.9765,1.0193,1.1589,0.685,1.0827,0.6846,0.8675,1.1626,0.2412,2.0011,3.4896,1.4827,1.8798,1.7575,0.3705,1.9971,1.2188,0.3628,0.8591,1.2435,1.0625,0.5903,1.9728,1.359,2.9831,2.2961,0.9806,1.6151,1.2557,1.0713,0.7094,1.6344,0.6257,0.1476,0.7174,0.9102,1.2966,1.5766,1.6295,1.0193,1.9034,1.4375,0.3969,1.5096,0.1985,1.336,0.3846,1.8588,1.7664,1.9982,1.4495,1.3192,0.9855,0.9477,0.538,0.7362,0.9524,1.0146,1.9473
"21",1.5136,1.0886,2.6863,0.9867,1.5428,1.6212,0.8198,1.9411,2.0935,3.3588,1.8692,0.9077,1.7527,0.5137,1.3777,1.7315,2.0437,1.7372,1.6892,0.8955,2.4902,1.9847,1.2953,0.8364,0.8401,1.0302,0.4571,1.4035,2.1439,1.2505,0.5898,1.1954,1.8705,1.0043,2.1254,0.5439,2.5418,1.2348,1.0897,0.9616,1.8994,1.5115,0.6404,2.1767,1.9265,3.0097,2.486,1.1801,2.1185,1.6244,1.0682,2.0073,1.6469,2.1549,1.3501,4.3359,0.9974,2.2509,1.7639,0.9687,1.2283,2.2775,1.0272,1.4855
"22",3.9255,5.9544,5.5842,4.817,5.1313,6.1093,7.4448,7.6172,7.6333,6.9399,8.2919,6.1868,9.342,5.97,4.8157,5.4643,3.0518,3.3953,4.3226,5.918,6.7607,4.9617,6.4056,5.3582,4.2545,6.3473,6.3606,5.0796,6.8391,4.3359,5.2832,4.2505,4.3193,4.6162,4.9581,5.777,4.4498,4.5986,3.4551,3.6428,5.5538,4.1843,6.1104,6.0081,6.0325,7.0535,8.4107,5.8921,3.6759,5.2299,3.7892,6.1289,4.6345,6.1975,7.2615,4.6854,8.2867,12.947,11.345,6.7251,3.2387,6.3483,3.1654,11.991
"23",0.5296,0.5337,1.1332,0.6451,0.6248,0.699,0.3091,0.9658,0.6759,0.5398,0.6582,0.2604,0.9274,0.0419,0.3351,0.4332,1.3326,0.2014,0.1916,0.1995,0.7003,0.1891,0.1172,0.3915,0.4413,0.2791,0.1034,0.5852,0.5418,0.405,0.3291,0.7832,0.4295,0.3974,0.5849,0.2311,0.4898,0.9912,0.5956,0.3154,0.3227,0.5016,0.2296,0.4237,0.6447,0.2785,0.3379,0.5712,0.334,0.3336,0.4899,0.4066,0.9738,0.6019,0.3919,0.9601,0.645,0.6419,0.5917,0.3642,0.7221,1.0977,0.5903,0.3664
"24",3.9098,2.7007,4.6055,2.0627,4.4183,3.5734,3.1707,3.9907,3.4926,5.3591,4.2006,3.2365,5.6308,5.32,1.7038,0.8888,1.7724,2.7069,3.3058,4.2012,2.0904,4.2684,5.8906,3.4114,3.9238,5.0894,4.3511,4.7345,6.562,3.6138,4.3179,3.5269,3.77,7.1226,5.9042,5.1366,4.9392,3.7895,3.474,3.7334,5.2479,5.1894,6.29,5.0315,6.0015,11.72,9.7974,3.2798,2.2394,5.7528,2.0382,6.0772,3.2043,1.9279,3.1693,3.009,4.0531,2.5126,4.8896,4.6571,9.0353,3.8648,1.3644,0.51
"25",3.7136,3.2339,2.2437,3.19,2.1173,0.8715,1.7832,2.3904,3.0444,3.8499,1.6489,2.3912,3.7294,0.6788,4.4972,5.0532,2.5309,2.0158,1.8165,2.7482,4.2106,1.4842,0.8622,4.1731,2.5854,4.0399,4.4925,4.8857,3.6949,3.7881,3.9674,4.1694,4.2734,7.9529,4.0646,2.9449,4.6434,3.3561,3.3252,4.0716,5.3606,5.431,5.6794,7.4927,1.1497,0.9208,2.2315,2.154,4.0499,1.8233,2.736,2.9153,3.6004,4.8529,2.4749,4.1282,3.5135,1.1037,2.5536,2.6641,1.5476,3.2756,0.1948,0.8435
"26",4.0016,3.4448,3.8154,3.4317,5.5302,6.1422,4.3681,5.6173,5.4256,6.2108,5.5198,3.5303,6.2835,2.8587,4.4969,2.978,2.9149,3.0943,3.8413,5.0193,4.4316,4.2161,4.9683,4.2235,4.3603,4.9979,3.9321,5.2727,4.5158,4.1156,4.3011,4.1672,3.7113,5.9834,5.2695,5.1551,4.1969,4.6378,4.3454,3.5826,4.8798,4.759,6.0782,10.647,5.9465,4.3302,8.4892,5.2107,4.1247,5.4517,3.1289,5.9626,4.2197,4.6906,6.8222,4.3518,7.3526,9.181,7.1704,5.0751,6.9878,4.7895,8.3728,9.0451
"27",1.1819,2.8296,1.6393,0.1925,1.8151,1.6401,1.3383,1.3576,1.6943,1.6905,1.7245,1.1523,2.6411,0.3045,0.8774,0.641,1.372,2.1997,2.0878,0.5264,1.0551,2.4285,1.3442,0.7628,2.6114,0.5048,0.2965,1.06,0.9539,1.274,0.5826,0.5528,0.4858,0.2875,0.4388,0.2302,0.7034,0.79,0.493,0.2619,0.5497,0.1618,0.404,1.1414,1.7804,0.9095,0.7902,1.0033,1.0395,0.4346,0.4258,0.3218,1.2199,1.1861,1.7238,1.9674,1.3057,0.9779,1.6024,0.7179,1.4746,3.5896,0.5307,0.757
"28",2.1459,0.9659,1.9209,0.9634,0.7825,1.0046,1.9139,1.3757,1.2084,0.8688,0.7024,0.7416,0.8799,0.6398,2.764,3.784,0.9148,1.338,1.2572,1.0083,3.5436,1.0796,0.3297,1.1378,0.8914,1.2871,2.6098,2.5376,2.1077,2.9943,1.6675,0.8665,2.0983,1.3758,1.9627,0.9464,1.8702,1.422,0.5411,1.0029,1.2214,1.0193,1.7192,1.2776,0.7386,0.4934,1.1693,1.0155,0.8558,0.991,1.0418,1.0469,0.972,1.9833,2.0052,2.3535,0.9421,1.0933,0.9838,0.3831,0.7201,1.6117,0.626,0.7652
"29",0.6662,0.4829,0.7984,0.39,0.4637,0.6796,0.3383,0.7016,0.6496,0.4274,0.5032,0.3749,0.8507,0.1747,0.6017,0.5316,1.0769,0.9382,0.9056,0.169,0.4902,0.7831,0.2245,0.5601,0.2306,0.1412,0.1391,0.3543,0.3094,0.5143,0.2993,0.1264,0.1616,0.1879,0.1786,0.0442,0.369,0.1115,0.105,0.1116,0.1619,0.1807,0.2016,0.1536,0.4743,0.3445,0.371,0.1621,0.1687,0.1194,0.1844,0.092,0.4805,0.2666,0.6277,0.6571,0.3489,0.4578,0.3524,0.358,0.8712,0.5679,0.2065,0.1212
"30",1.7203,1.3528,1.5175,0.3349,0.7564,0.8947,1.1061,1.7969,1.0017,1.4747,0.8094,0.6006,0.9803,1.5998,1.0689,0.6929,0.9257,2.9129,3.864,1.0801,0.9266,3.9688,2.5891,1.0555,0.3838,0.4475,0.7647,0.8252,0.5533,0.6261,0.3039,0.464,0.7369,0.9454,1.8821,0.9649,1.5015,1.5322,0.4546,2.0151,1.8407,1.352,1.4218,0.6512,0.9105,0.8829,2.3707,1.0296,0.5492,0.7483,0.4825,0.4885,1.0138,0.9484,1.7224,1.7132,0.9314,1.0176,1.6241,0.6479,1.0954,1.6153,1.0019,2.69
"31",0.269,0.7262,0.5605,0.304,0.6539,0.6715,0.3434,0.6422,0.3452,0.497,0.56,0.362,1.2201,0.2792,0.5097,0.2617,1.149,0.3856,0.375,0.2272,0.5337,0.9123,0.2919,0.5194,0.6745,0.2622,0.2037,0.4572,0.3508,0.4459,0.4513,1.0561,0.4915,0.4537,0.4554,0.2361,0.8737,1.3204,0.862,0.2676,0.4143,0.3227,0.6146,0.6552,0.6662,0.6226,0.5823,0.5878,0.629,0.659,0.4441,0.6986,0.6848,0.4097,0.7521,0.9429,1.5751,0.5233,0.8109,0.658,1.0822,0.7858,0.6345,0.3767
"32",1.4677,1.2882,1.5492,0.3668,0.906,1.071,2.0215,1.2427,1.1886,1.0305,0.9074,0.6308,1.1037,1.7833,1.3698,1.5713,0.6157,2.6025,3.1411,0.9286,0.952,2.3758,1.0328,0.8112,0.4736,0.5019,0.6655,0.692,0.7056,1.048,0.2853,0.3901,0.5357,0.9101,0.9126,0.4397,0.6946,0.8716,0.4092,1.0035,0.7147,0.4812,0.659,0.9733,1.304,0.8717,1.6344,0.6046,0.9149,0.6726,1.7639,0.618,1.005,0.8195,1.8954,1.3554,0.8429,0.9201,0.998,0.3964,1.2033,0.742,0.8867,1.7789
"33",0.638,2.5171,1.8893,1.7941,0.9905,2.9933,0.4211,1.4209,2.0259,2.0716,0.2559,1.3119,1.836,0.3658,0.1171,0.1131,2.0603,0.1058,0.1032,0.0708,0.0414,0.3367,0.044,0.0818,0.0679,0.0763,0.0783,0.1093,0.0849,0.1212,0.0981,0.0773,0.0857,0.1143,0.0717,0.0664,0.1933,0.1259,0.1211,0.0388,0.0188,0.0748,0.2643,0.1421,0.2585,0.1532,0.1206,0.1502,0.1004,0.3807,0.0374,0.0685,1.9579,0.7149,1.5852,0.6971,1.1726,1.5861,1.1806,0.9645,1.4616,2.1485,3.8806,0.5062
"34",2.1497,3.0538,2.008,2.7727,2.6055,1.6183,1.5697,1.7093,1.3265,1.5018,1.9146,2.6252,1.573,1.5909,1.2811,0.889,2.4857,1.8358,1.675,2.3644,1.8524,1.0969,2.1323,2.5377,4.5522,3.6112,3.2849,2.8563,2.3625,3.6486,1.8287,1.9207,3.2595,2.3343,2.6981,2.8289,3.2525,1.853,2.8735,1.6828,2.3782,2.9992,2.5645,3.5434,1.6297,2.1523,1.9382,3.2121,4.7468,2.0357,0.7382,3.3826,1.941,1.1086,1.6191,2.2486,1.5579,1.5056,0.8711,2.4129,1.5434,1.843,1.1943,0.7206
"35",3.7382,2.8671,4.8112,1.3236,0.9257,3.9152,3.8281,6.89,3.5652,2.9995,5.6523,4.4047,3.3894,5.4895,2.5673,1.7504,2.7108,3.7186,4.2883,6.7358,2.1909,4.2037,4.2635,5.6676,5.0105,5.7822,5.9967,2.0165,3.5536,2.1172,3.9493,3.3498,1.2646,2.5896,3.6934,3.6605,3.883,2.8234,2.9972,3.2054,5.5593,5.2033,3.2965,4.0876,1.9118,3.7791,2.2454,4.1493,2.6406,4.4282,2.8108,4.8798,2.3394,3.3617,3.899,3.8023,2.7792,2.7866,3.8058,2.5048,2.626,4.0527,7.2721,5.1413
"36",2.7538,1.9144,2.2913,0.8575,1.5953,1.7966,2.4502,2.5601,3.6807,2.0701,2.7272,1.9233,2.3732,5.3745,2.8531,2.8496,1.7977,3.3043,3.8388,3.3996,4.1459,4.3328,6.2452,0.9917,2.0011,1.5705,0.7945,1.6949,2.4544,1.9924,1.6587,1.8463,1.1741,1.2942,1.2084,1.9897,1.2279,1.3047,2.0433,2.6543,2.0985,1.2312,0.9822,0.7976,1.4028,0.9898,1.6366,1.2004,1.2218,1.729,1.5862,0.9546,2.2451,1.7611,1.5716,2.206,0.6502,1.4253,2.8498,2.3362,1.6891,1.6668,0.8847,1.9366
"37",0.8587,0.5963,0.2019,1.5864,0.4982,0.3554,0.3118,0.403,0.4474,0.6616,0.313,0.4565,0.3125,0.9248,0.7469,1.7394,0.4866,0.6283,0.6356,0.7649,0.4171,0.8216,0.6843,0.6565,2.0733,0.7407,0.637,1.4367,1.1856,0.6775,1.0869,0.8579,1.0743,1.196,0.9028,0.8448,0.5099,0.6259,0.6878,0.9902,0.7632,1.0547,0.5631,0.3625,0.285,0.2504,0.3212,0.6755,0.5145,0.3446,0.6453,0.2357,0.9794,1.1286,0.7321,1.1814,0.1721,2.2363,0.4164,0.5664,0.4386,0.4287,0.1554,0.2516
"38",0.932,0.913,1.2415,0.4192,0.8406,0.9508,0.6449,0.6522,0.633,0.6953,0.6101,0.488,0.521,0.1515,0.1731,0.349,0.9212,0.1532,0.1443,0.3941,0.2933,0.05,0.1303,0.5897,0.2173,0.4388,0.2022,0.1894,0.342,0.6703,0.7215,0.5783,2.0631,0.5001,0.2825,0.585,1.1561,0.4365,0.3796,0.3409,0.4738,0.5341,0.4886,0.285,0.4143,0.1457,0.2791,0.453,0.8171,0.3258,0.4262,0.431,1.2749,0.5375,1.4893,0.5333,0.3316,0.7907,0.5632,0.559,0.7118,0.5136,0.5172,0.6125
"39",1.0597,0.503,0.6952,0.6228,0.6296,0.5751,0.4716,0.67,0.4973,0.5923,0.4675,0.7668,0.2045,0.5614,0.5979,0.9551,0.3915,0.5958,0.5571,0.3496,0.3156,0.5708,0.6159,0.3195,0.9083,0.4259,0.3089,0.8385,1.0198,0.6873,0.7969,0.729,0.5756,0.5204,0.3591,0.5871,0.3245,0.3531,0.4446,0.8629,0.4164,0.6183,0.2533,0.2927,0.2826,0.2335,0.3899,0.449,0.5372,0.3256,1.1363,0.1534,1.0289,0.9919,0.5312,0.6935,0.4183,0.4149,0.9844,0.9104,0.5138,0.2864,0.4921,0.5167
"40",0.2684,1.3195,0.3134,0.1715,0.3414,0.2136,0.7606,0.3806,0.284,0.2135,0.2605,0.2801,0.5825,0.4923,0.2507,0.1444,0.7131,0.5098,0.4734,0.7116,0.2029,0.2846,0.5725,0.2708,0.4326,0.3898,0.298,0.3018,0.5249,0.4243,0.3629,0.5668,0.4375,0.3028,0.4078,0.5497,0.4556,0.2682,0.2963,0.4108,0.3307,0.4303,0.3295,0.3091,0.2178,0.2034,0.2925,0.18,0.7038,0.3602,0.4511,0.2989,0.1496,0.1052,0.1835,0.0991,0.181,0.5854,0.302,0.3801,0.6122,0.2864,0.2112,0.3988
"41",1.1909,0.9951,0.5556,3.3604,2.3463,0.2899,0.4171,1.383,0.6551,2.0148,0.77,0.4528,0.385,0.3573,0.4073,0.6784,0.3131,0.2964,0.274,0.2306,0.1196,0.2316,0.3117,0.7766,0.6103,1.4127,0.4043,0.6731,0.2794,0.7984,0.7881,0.2349,0.4074,0.2156,0.2265,0.3385,0.3018,0.2383,0.4235,0.4075,0.2525,0.2442,0.3197,0.1714,0.1686,0.2132,0.2652,0.3044,0.6051,0.4298,0.5311,0.2616,1.6692,3.8392,1.017,0.9987,0.5331,0.4255,1.2699,0.9588,3.7202,0.2335,0.2803,0.7632
